Participant ID,Scene,Absolute time,Relative time in session,Happy,Enjoyment,Hope,Pride,Anger,Frustration,Anxiety,Fear,Shame,Hopelessness,Boredom,Surprise,Contempt,Disgust,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Boredom Average,Curiosity Average
MT208PN41009,scene2,10:17:57,1:04:36.371,4,4,3,3,1,1,3,1,2,2,2,3,1,1,2,4,1,3,1,4,,
MT208PN41009,scene3,10:34:14,1:20:53.402,3,3,4,3,4,2,2,1,1,3,3,2,2,1,2,3,1,2,1,4,,
MT208PN41009,scene4,10:50:36,1:37:15.461,4,3,3,3,3,3,2,2,1,2,1,2,2,2,1,3,3,2,1,4,1.6,3.6
MT208PN41010,scene0,9:35:49,0:15:44.872,3,4,3,3,2,2,3,1,1,1,4,3,1,1,3,3,1,2,5,4,,
MT208PN41010,scene1,9:57:21,0:37:16.990,3,4,4,3,2,4,2,2,2,2,2,2,2,2,4,5,2,4,4,4,,
MT208PN41010,scene2,10:19:38,0:59:34.270,3,3,4,3,2,2,2,2,2,2,3,2,2,1,4,4,1,3,4,3,,
MT208PN41010,scene3,10:40:36,1:20:32.399,4,4,4,4,1,1,2,1,1,2,1,3,3,1,2,5,1,4,3,4,,
MT208PN41010,scene4,10:56:33,1:36:28.831,3,3,3,4,2,4,4,1,1,3,1,1,1,1,1,1,1,4,3,4,2.2,3.6
MT208PN41011,scene0,15:32:48,0:17:03.961,3,2,4,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,5,4,,
MT208PN41011,scene1,15:54:15,0:38:30.943,1,4,3,2,1,1,1,1,1,1,4,3,2,1,1,2,1,2,4,3,,
MT208PN41011,scene2,16:14:07,0:58:23.402,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,,
MT208PN41011,scene3,16:30:45,1:15:01.035,1,1,3,3,1,1,1,1,1,3,2,2,1,1,1,3,1,1,5,3,,
MT208PN41011,scene4,16:46:46,1:31:02.463,5,4,3,2,1,1,3,1,1,1,3,1,1,1,1,2,1,1,5,3,2.6,2.2
MT208PN41012,scene0,14:22:06,0:14:20.030,3,3,3,3,2,2,2,2,2,3,4,2,3,2,2,2,2,2,5,3,,
MT208PN41012,scene1,14:44:59,0:37:12.923,3,3,3,3,2,2,2,2,2,2,3,2,3,2,2,3,2,2,5,3,,
MT208PN41012,scene2,15:02:53,0:55:06.355,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,5,3,,
MT208PN41012,scene3,15:19:17,1:10:38.424,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,4,3,,
MT208PN41012,scene4,15:34:59,1:26:20.831,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,4,4,2.6,2.8
MT208PN41013,scene0,13:39:10,0:17:43.605,4,4,3,3,1,1,2,2,1,1,2,1,1,1,2,3,1,2,3,2,,
MT208PN41013,scene1,14:02:21,0:40:54.646,4,3,3,3,1,1,1,1,1,1,2,2,1,1,1,2,1,1,3,2,,
MT208PN41013,scene2,14:20:43,0:59:17.108,4,3,3,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,,
MT208PN41013,scene3,14:43:35,1:22:08.731,2,2,2,2,3,4,2,1,1,1,2,1,3,1,2,1,1,1,1,1,,
MT208PN41013,scene4,14:55:57,1:34:30.784,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1.8,1.8
MT208PN41015,scene0,11:30:41,0:14:42.435,3,2,5,3,3,4,4,1,2,3,2,2,3,2,2,4,2,4,3,3,,
MT208PN41015,scene1,11:51:44,0:35:45.366,3,4,4,3,2,2,3,2,1,1,3,4,2,2,2,4,2,2,3,3,,
MT208PN41015,scene2,12:09:58,0:53:59.241,2,2,2,2,2,3,3,1,2,2,2,2,2,2,3,2,2,1,4,3,,
MT208PN41015,scene3,12:25:26,1:09:27.437,2,2,2,2,2,4,4,2,3,2,5,2,3,2,3,2,2,1,2,1,,
MT208PN41015,scene4,12:41:13,1:25:14.276,4,2,2,2,3,2,4,2,1,2,5,3,3,2,3,1,1,1,2,3,3.4,2.6
MT208PN41016,scene0,14:24:19,0:14:05.473,3,3,5,3,1,1,2,1,1,1,1,1,1,1,2,4,1,1,5,2,,
MT208PN41016,scene1,14:45:43,0:35:29.790,3,3,4,1,1,1,1,1,1,1,2,1,1,1,1,4,1,3,4,3,,
MT208PN41016,scene2,15:04:02,0:53:48.208,3,3,4,1,1,1,3,1,1,1,2,1,1,1,1,4,1,1,3,4,,
MT208PN41016,scene3,15:19:36,1:09:22.330,3,4,4,2,1,1,1,1,1,1,1,4,1,1,1,5,1,1,4,5,,
MT208PN41016,scene4,15:35:30,1:25:16.795,3,3,3,1,1,1,4,1,1,1,1,1,1,1,4,5,1,1,4,4,1.4,4.4
